customer_id,region,plan,tenure_months,monthly_spend,support_tickets,churned
1153,South,Standard,1,31.08,3,0
1154,North,Standard,58,58.25,2,0
1155,East,Basic,18,63.68,0,0
1156,North,Premium,37,61.65,0,0
1157,East,Basic,70,41.62,1,0
1158,East,Standard,46,71.02,2,0
1159,East,Basic,71,48.01,0,0
1160,North,Standard,43,50.31,2,0
1161,West,Basic,15,20.32,0,0
1162,North,Premium,50,59.61,0,0
1163,North,Basic,44,43.31,1,0
1164,South,Standard,23,56.37,0,0
1165,South,Basic,6,52.23,0,1
1166,West,Basic,47,51.26,0,0
1167,East,Basic,41,47.18,1,1
1168,South,Standard,55,62.16,2,0
1169,West,Standard,9,44.42,2,0
1170,North,Premium,39,21.81,1,0
1171,South,Standard,59,58.24,2,0
1172,North,Premium,64,33.44,1,0
1173,West,Basic,67,24.16,0,0
1174,North,Standard,16,29.6,4,0
1175,North,Standard,13,53.1,2,1
1176,South,Standard,41,46.26,2,1
1177,West,Premium,33,9.61,3,0
1178,West,Standard,17,41.09,2,1
1179,East,Premium,8,69.05,5,0
1180,West,Standard,11,39.88,2,0
1181,West,Basic,25,45.02,0,0
1182,South,Standard,53,66.77,0,0
1183,South,Standard,5,62.32,1,0
1184,East,Premium,8,66.39,0,0
1185,East,Premium,19,8.0,0,0
1186,South,Basic,63,79.2,5,1
1187,North,Basic,71,59.46,0,0
1188,East,Basic,32,92.31,0,0
1189,North,Standard,4,33.92,0,0
1190,West,Basic,1,16.26,1,0
1191,North,Standard,61,48.13,2,0
1192,North,Standard,32,43.04,6,1
1193,West,Premium,6,59.77,0,0
1194,North,Basic,60,67.35,1,1
1195,North,Standard,38,46.43,0,0
1196,South,Basic,25,43.67,0,0
1197,West,Premium,33,57.41,0,0
1198,North,Basic,16,43.39,0,0
1199,South,Basic,67,41.88,0,0
1200,East,Basic,56,66.67,2,0
1201,West,Premium,15,70.68,1,1
1202,South,Basic,53,67.51,1,0
1203,North,Standard,13,44.97,0,0
1204,North,Standard,33,9.48,4,0
1205,North,Standard,54,45.33,2,0
1206,North,Basic,3,34.36,0,0
1207,East,Basic,52,45.66,2,0
1208,North,Basic,17,35.92,0,0
1209,South,Basic,50,47.63,0,0
1210,East,Standard,36,29.29,1,0
1211,South,Basic,2,24.95,1,0
1212,North,Basic,55,70.01,0,0
1213,East,Basic,19,30.55,0,0
1214,East,Standard,68,48.01,1,0
1215,East,Basic,60,65.18,1,1
1216,North,Standard,14,64.46,1,0
1217,North,Basic,43,62.31,1,0
1218,West,Premium,26,53.45,1,0
1219,South,Standard,43,61.03,4,0
1220,South,Basic,40,72.72,1,0
1221,South,Basic,22,55.65,0,0
1222,East,Basic,47,14.93,2,1
1223,West,Basic,19,38.49,5,1
1224,North,Basic,65,60.53,3,1
1225,West,Premium,68,36.71,0,0
1226,North,Standard,12,77.16,1,0
1227,South,Basic,52,46.86,1,0
1228,East,Standard,66,49.53,1,0
1229,North,Basic,10,68.25,1,1
1230,North,Premium,53,44.71,1,0
1231,South,Basic,67,51.17,3,0
1232,West,Standard,16,64.18,2,0
1233,South,Standard,42,21.5,1,0
1234,West,Basic,57,42.86,0,0
1235,East,Basic,24,62.92,2,1
1236,South,Basic,17,49.18,2,1
1237,East,Premium,29,74.41,0,0
1238,North,Standard,24,19.63,3,0
1239,North,Standard,52,17.58,1,0
1240,West,Standard,27,61.85,1,1
1241,East,Premium,27,63.58,3,0
1242,North,Standard,68,44.52,0,0
1243,South,Standard,42,55.21,1,0
1244,East,Standard,66,61.41,0,0
1245,West,Basic,51,33.35,0,0
1246,East,Premium,63,35.28,1,0
1247,South,Basic,14,51.42,1,0
1248,South,Basic,67,64.27,1,0
1249,South,Premium,68,27.01,2,0
1250,East,Basic,3,44.44,1,1
1251,West,Basic,26,43.6,1,0
1252,South,Basic,30,55.52,0,0
1253,North,Standard,30,47.84,1,1
1254,North,Premium,56,38.17,1,0
1255,East,Basic,50,70.47,1,1
1256,East,Basic,16,38.29,2,1
1257,North,Standard,44,42.74,4,1
1258,North,Premium,70,19.35,2,0
1259,South,Basic,32,35.15,4,1
1260,North,Premium,66,57.29,1,0
1261,West,Premium,47,53.77,2,0
1262,South,Basic,66,58.79,2,0
1263,North,Premium,65,57.92,3,0
1264,West,Standard,2,85.58,0,1
1265,North,Standard,57,34.54,0,0
1266,North,Basic,14,18.85,1,0
1267,North,Premium,59,29.09,2,0
1268,North,Standard,58,35.33,2,1
1269,North,Standard,19,30.46,1,0
1270,North,Premium,5,49.69,2,0
1271,North,Standard,30,70.55,1,0
1272,North,Premium,22,75.71,0,0
1273,South,Premium,40,57.08,2,0
1274,East,Basic,6,86.54,2,1
1275,South,Basic,4,41.59,3,1
1276,South,Basic,32,18.61,0,0
1277,South,Premium,55,66.96,2,1
1278,West,Basic,23,14.91,2,1
1279,West,Standard,23,34.41,2,1
1280,North,Basic,12,57.36,3,1
1281,North,Basic,21,46.16,1,0
1282,North,Standard,22,44.56,2,0
1283,North,Basic,19,26.75,0,0
1284,South,Premium,25,47.81,1,0
1285,South,Basic,21,66.07,2,0
1286,North,Premium,49,48.36,1,0
1287,South,Basic,24,33.06,1,0
1288,South,Premium,54,25.54,1,0
1289,North,Standard,43,33.43,0,0
1290,West,Basic,46,55.06,0,0
1291,North,Basic,42,54.18,1,0
1292,West,Basic,66,33.59,1,0
1293,North,Standard,19,8.21,0,0
1294,West,Premium,70,55.56,0,0
1295,West,Basic,15,31.84,1,1
1296,West,Basic,10,60.4,0,1
1297,East,Standard,59,34.39,1,0
1298,East,Standard,64,30.22,1,0
1299,East,Standard,7,50.76,1,1
1300,East,Standard,43,90.44,2,0
1301,North,Standard,37,61.48,1,0
1302,South,Premium,16,50.45,2,0
1303,South,Basic,37,54.46,1,0
1304,West,Basic,49,16.48,4,1
1305,South,Basic,41,27.8,1,0
1306,South,Standard,37,8.0,0,0
1307,East,Basic,63,79.14,2,1
1308,North,Premium,17,75.49,1,1
1309,North,Standard,45,55.07,0,0
1310,South,Standard,23,50.43,2,0
1311,South,Standard,70,20.07,0,0
1312,North,Basic,18,44.05,1,0
1313,South,Premium,62,80.26,1,0
1314,South,Basic,45,50.37,1,0
1315,South,Standard,16,37.84,0,0
1316,South,Premium,54,16.35,2,0
1317,East,Standard,18,72.85,1,1
1318,North,Premium,19,46.74,0,0
1319,West,Basic,25,16.38,1,0
1320,West,Premium,49,31.36,3,0
1321,South,Standard,28,25.0,0,0
1322,South,Standard,41,45.63,2,0
1323,South,Basic,40,51.73,2,0
1324,West,Basic,14,38.94,2,1
1325,East,Standard,17,61.99,0,0
1326,East,Basic,22,49.42,1,0
1327,South,Standard,16,67.12,0,0
1328,East,Premium,66,41.57,1,0
1329,North,Premium,28,102.82,1,0
1330,East,Basic,29,37.84,0,0
1331,North,Premium,48,31.74,0,0
1332,East,Basic,56,29.53,1,0
1333,West,Standard,49,44.2,0,0
1334,North,Premium,40,17.05,2,1
1335,East,Basic,70,53.3,0,0
1336,North,Basic,64,13.7,2,0
1337,East,Basic,15,50.91,0,0
1338,North,Standard,12,23.68,0,0
1339,West,Premium,28,41.14,1,1
1340,North,Basic,60,58.88,1,0
1341,West,Basic,69,89.47,0,1
1342,East,Standard,50,28.6,0,0
1343,South,Basic,49,45.29,0,0
1344,East,Standard,17,34.97,1,0
1345,East,Premium,43,32.34,1,0
1346,West,Standard,14,35.13,3,0
1347,North,Premium,39,62.83,1,0
1348,South,Standard,14,39.21,2,0
1349,North,Premium,6,88.49,1,1
1350,East,Basic,69,55.49,1,0
1351,North,Basic,64,29.82,0,0
1352,South,Standard,49,41.4,2,0
1353,South,Basic,45,33.57,2,0
1354,South,Premium,18,62.4,2,0
1355,South,Standard,41,18.5,2,0
1356,East,Premium,54,23.86,0,0
1357,East,Basic,39,37.35,0,0
1358,South,Standard,21,60.29,0,0
1359,South,Standard,28,70.2,2,0
1360,West,Basic,60,72.85,0,0
1361,North,Standard,19,57.54,1,0
1362,North,Standard,69,46.51,2,0
1363,North,Premium,54,62.3,1,0
1364,East,Standard,64,27.4,0,0
1365,South,Basic,37,14.8,1,0
1366,East,Standard,16,55.86,1,0
1367,East,Standard,3,29.9,0,0
1368,South,Basic,38,46.82,1,0
1369,West,Basic,29,50.15,2,0
1370,East,Basic,9,52.47,1,1
1371,North,Basic,66,64.88,0,0
1372,South,Standard,69,62.98,0,0
1373,South,Basic,27,51.51,1,1
1374,North,Standard,48,40.04,2,0
1375,North,Basic,30,49.94,0,0
1376,West,Standard,36,37.27,0,0
1377,South,Basic,45,44.46,1,0
1378,South,Premium,30,95.13,1,0
1379,East,Basic,57,51.28,1,0
1380,South,Standard,14,56.1,1,0
1381,West,Basic,48,35.3,3,0
1382,East,Basic,70,66.36,2,0
1383,South,Standard,61,61.68,2,0
1384,South,Premium,4,61.81,2,0
1385,West,Premium,9,51.87,0,0
1386,East,Basic,45,66.62,1,0
1387,West,Basic,66,70.89,0,0
1388,North,Standard,60,53.1,0,0
1389,West,Standard,65,45.94,1,0
1390,East,Basic,11,64.1,0,0
1391,North,Standard,37,31.73,0,0
1392,South,Standard,52,35.08,0,0
1393,East,Standard,45,47.04,3,0
1394,North,Basic,56,16.66,1,0
1395,South,Basic,16,62.9,3,1
1396,West,Basic,33,30.67,1,1
1397,North,Standard,32,39.51,1,0
1398,South,Basic,67,44.16,2,0
1399,South,Standard,15,48.71,0,0
1400,South,Standard,24,41.81,4,0
1401,West,Standard,2,46.79,1,0
1402,East,Basic,11,46.93,3,1
1403,North,Basic,70,39.95,0,0
1404,West,Standard,61,34.08,1,0
1405,West,Standard,19,67.47,2,1
1406,North,Premium,50,10.12,0,0
1407,West,Basic,43,44.3,1,0
1408,North,Premium,65,39.56,0,0
1409,West,Basic,22,55.54,0,0
1410,East,Basic,71,21.82,2,0
1411,East,Basic,27,39.0,0,0
1412,North,Standard,51,46.16,2,0
1413,West,Basic,29,67.26,0,0
1414,North,Basic,48,53.98,0,0
1415,North,Standard,24,26.7,2,0
1416,North,Standard,60,39.23,2,0
1417,East,Basic,46,63.95,0,0
1418,North,Basic,21,26.39,1,0
1419,West,Standard,69,46.58,4,1
1420,East,Basic,51,47.84,0,0
1421,North,Basic,31,41.06,1,1
1422,North,Standard,10,96.52,2,1
1423,North,Basic,70,40.57,0,0
1424,East,Standard,54,56.1,0,0
1425,East,Basic,48,34.21,1,0
1426,North,Basic,60,57.5,1,0
1427,West,Basic,44,63.67,1,1
1428,North,Basic,17,37.42,2,0
1429,East,Basic,17,47.02,1,0
1430,West,Basic,6,31.88,1,1
1431,East,Premium,5,27.4,1,0
1432,East,Premium,52,66.66,4,1
1433,West,Basic,61,38.03,5,0
1434,North,Standard,12,8.0,0,0
1435,North,Standard,41,79.78,2,0
1436,North,Premium,9,33.56,1,0
1437,South,Basic,30,43.57,2,0
1438,East,Basic,57,77.54,1,1
1439,East,Basic,58,45.45,1,0
1440,West,Basic,68,45.06,2,0
1441,North,Basic,23,25.89,2,0
1442,East,Premium,68,18.57,0,0
1443,North,Premium,56,45.01,1,0
1444,North,Basic,25,54.53,0,1
1445,East,Standard,24,53.5,1,0
1446,West,Basic,8,39.34,1,1
1447,East,Standard,66,48.36,1,0
1448,North,Standard,15,14.93,1,0
1449,East,Basic,20,56.28,1,0
1450,North,Premium,30,50.91,3,0
1451,West,Premium,10,83.53,2,0
1452,East,Standard,58,48.13,1,0
1453,North,Standard,50,31.03,1,0
1454,North,Standard,12,47.09,1,0
1455,North,Basic,12,42.1,1,1
1456,West,Basic,2,55.82,2,1
1457,South,Standard,68,48.48,2,0
1458,East,Basic,31,25.32,0,0
1459,East,Premium,47,18.56,1,0
1460,South,Basic,11,52.73,2,1
1461,North,Basic,17,72.9,0,0
1462,West,Basic,39,49.43,1,0
1463,South,Premium,15,62.64,2,0
1464,South,Basic,44,66.23,1,0
1465,East,Basic,66,52.8,0,0
1466,East,Basic,22,33.34,1,0
1467,West,Standard,44,51.52,0,0
1468,North,Premium,66,69.73,2,0
1469,South,Basic,64,57.54,1,0
1470,South,Premium,1,61.47,0,0
1471,South,Basic,8,39.67,1,0
1472,North,Standard,71,44.36,2,0
1473,North,Basic,66,45.86,1,0
1474,North,Standard,23,47.08,0,0
1475,South,Standard,37,69.02,2,1
1476,South,Standard,41,8.0,1,0
1477,East,Basic,48,48.55,2,1
1478,East,Premium,54,46.57,2,0
1479,South,Premium,27,23.31,1,0
1480,South,Standard,64,60.09,0,0
1481,North,Standard,5,34.96,0,0
1482,South,Standard,3,41.57,0,0
1483,South,Basic,69,81.28,1,1
1484,North,Premium,13,66.18,1,0
1485,South,Basic,71,58.34,0,0
1486,South,Standard,21,54.85,1,0
1487,North,Basic,26,45.04,1,0
1488,South,Basic,2,83.99,1,1
1489,South,Standard,68,62.44,1,0
1490,East,Standard,26,34.51,1,0
1491,East,Premium,12,22.8,0,0
1492,East,Premium,35,58.2,1,0
1493,South,Basic,11,46.99,2,0
1494,East,Basic,57,22.28,2,1
1495,South,Basic,6,55.71,0,0
1496,South,Standard,36,43.16,1,0
1497,East,Standard,28,57.55,0,0
1498,South,Premium,3,55.95,0,0
1499,South,Standard,4,37.05,0,0
1500,East,Basic,37,59.39,0,0
1501,West,Standard,29,39.04,0,0
1502,West,Standard,10,40.21,3,1
1503,South,Standard,10,38.42,0,0
1504,South,Basic,58,68.36,1,0
1505,East,Basic,52,42.95,1,0
1506,South,Basic,44,72.7,1,1
1507,West,Basic,60,80.1,3,1
1508,South,Standard,5,34.7,2,0
1509,North,Basic,49,8.0,2,0
1510,North,Standard,54,66.8,1,0
1511,West,Standard,15,41.84,1,0
1512,North,Premium,39,32.41,1,0
1513,North,Basic,55,37.4,2,0
1514,South,Basic,43,40.53,1,1
1515,North,Basic,18,71.35,0,0
1516,South,Basic,48,50.88,1,0
1517,East,Basic,54,71.1,3,0
1518,North,Standard,1,56.9,1,0
1519,West,Basic,41,42.43,3,1
1520,West,Basic,36,40.97,0,0
1521,South,Basic,27,58.11,2,0
1522,North,Standard,4,62.77,4,0
1523,East,Premium,6,65.94,1,0
1524,North,Standard,54,43.29,1,0
1525,South,Standard,59,51.15,1,0
1526,West,Standard,30,58.51,0,0
1527,West,Standard,67,41.09,0,0
1528,East,Basic,66,27.57,1,0
1529,South,Standard,48,33.49,0,0
1530,East,Standard,42,43.66,0,0
1531,East,Basic,69,59.92,0,0
1532,South,Standard,44,70.66,2,0
1533,East,Standard,67,23.59,0,0
1534,North,Standard,70,37.25,0,0
1535,North,Basic,14,41.56,1,0
1536,South,Standard,47,62.3,0,0
1537,North,Premium,52,38.49,0,0
1538,North,Basic,59,40.26,0,0
1539,West,Basic,25,22.58,1,0
1540,West,Basic,62,56.7,3,1
1541,South,Basic,35,45.09,4,1
1542,West,Premium,28,36.23,2,0
1543,West,Standard,12,43.33,0,0
1544,North,Basic,23,68.29,1,0
1545,South,Basic,70,29.91,1,0
1546,South,Premium,51,32.85,1,0
1547,North,Basic,52,70.54,3,0
1548,East,Standard,64,49.36,0,0
1549,South,Basic,19,60.06,0,0
1550,South,Basic,47,55.23,0,0
1551,North,Standard,27,47.36,1,0
1552,North,Basic,61,41.73,0,0
1553,West,Standard,30,62.97,1,0
1554,North,Basic,61,68.92,0,0
1555,North,Standard,54,67.52,1,0
1556,North,Standard,55,26.66,2,0
1557,South,Standard,66,71.49,2,0
1558,South,Basic,57,41.56,1,1
1559,South,Standard,23,34.41,2,0
1560,North,Premium,38,44.95,1,0
1561,North,Basic,34,62.96,2,0
1562,West,Basic,5,57.73,0,1
1563,East,Premium,43,43.4,1,0
1564,East,Basic,32,63.08,0,0
1565,East,Standard,28,50.52,0,0
1566,East,Standard,8,37.69,1,0
1567,North,Basic,36,35.26,2,1
1568,South,Standard,42,55.38,1,0
1569,South,Standard,8,46.51,0,0
1570,South,Basic,46,23.24,1,0
1571,West,Premium,12,63.25,2,0
1572,South,Basic,11,39.36,2,0
1573,East,Basic,29,76.66,2,1
1574,West,Premium,28,22.75,1,0
1575,South,Basic,65,44.75,0,0
1576,West,Premium,5,35.4,0,0
1577,South,Basic,25,30.44,3,0
1578,West,Standard,53,39.24,1,0
1579,South,Basic,18,79.87,0,0
1580,South,Standard,70,50.58,1,0
1581,South,Standard,53,33.75,2,0
1582,North,Premium,68,15.08,4,0
1583,South,Premium,68,17.02,0,0
1584,West,Standard,8,38.34,0,0
1585,East,Standard,33,36.59,1,0
1586,North,Standard,53,43.97,1,0
1587,South,Premium,1,8.0,1,0
1588,North,Standard,33,46.35,1,0
1589,North,Premium,49,66.5,1,0
1590,West,Basic,57,77.21,0,1
1591,South,Standard,30,13.9,0,0
1592,South,Standard,62,33.57,2,0
1593,South,Basic,48,32.62,1,0
1594,North,Basic,4,50.62,0,0
1595,North,Premium,20,26.04,1,0
1596,East,Basic,67,78.28,1,0
1597,East,Basic,1,48.78,2,1
1598,West,Basic,8,45.78,2,0
1599,East,Basic,25,76.67,1,0
1600,South,Standard,71,47.71,0,0
1601,East,Premium,51,55.21,1,0
1602,West,Premium,11,34.49,3,0
1603,East,Standard,28,23.33,0,0
1604,West,Standard,67,37.01,1,0
1605,East,Basic,16,87.37,4,1
1606,West,Premium,41,59.39,0,0
1607,North,Basic,33,52.94,2,0
1608,East,Basic,54,30.43,0,1
1609,South,Premium,54,64.4,1,0
1610,South,Premium,60,23.56,1,0
1611,East,Basic,9,19.79,1,0
1612,West,Standard,33,37.94,2,0
1613,West,Standard,50,83.18,4,1
1614,North,Basic,30,82.16,0,0
1615,East,Basic,48,39.88,1,0
1616,East,Basic,46,35.86,2,0
1617,South,Standard,27,18.47,0,0
1618,North,Basic,8,49.4,2,0
1619,North,Standard,69,50.92,1,0
1620,East,Basic,59,62.21,1,0
1621,South,Premium,64,64.39,1,0
1622,West,Standard,22,44.45,1,0
1623,South,Premium,23,58.01,1,0
1624,West,Basic,23,35.39,0,1
1625,South,Standard,3,57.67,2,1
1626,East,Premium,13,38.87,1,0
1627,North,Basic,22,56.27,2,1
1628,South,Basic,71,54.81,0,0
1629,East,Basic,15,49.24,1,0
1630,West,Basic,37,62.3,1,0
1631,West,Basic,39,19.73,0,0
1632,North,Basic,26,28.83,0,0
1633,South,Basic,66,43.14,0,0
1634,North,Standard,7,22.02,1,0
1635,North,Basic,62,40.68,2,0
1636,East,Basic,53,41.26,0,0
1637,East,Standard,22,71.57,1,0
1638,East,Basic,55,50.57,0,0
1639,West,Basic,31,66.53,0,0
1640,East,Basic,69,53.43,0,0
1641,East,Basic,3,38.36,1,1
1642,North,Standard,3,50.41,0,0
1643,North,Basic,39,61.13,1,0
1644,East,Basic,67,69.48,1,0
1645,West,Premium,5,45.62,2,0
1646,North,Premium,56,18.34,2,0
1647,South,Basic,67,17.08,2,0
1648,East,Basic,35,42.12,1,1
1649,North,Standard,62,8.0,2,0
1650,South,Premium,54,80.31,1,0
1651,West,Premium,16,58.74,3,0
1652,East,Basic,61,36.56,0,0
1653,North,Basic,50,28.03,0,0
1654,West,Basic,1,66.51,2,1
1655,South,Premium,41,27.95,0,0
1656,West,Premium,47,29.67,0,0
1657,North,Basic,57,34.21,1,0
1658,South,Standard,55,50.05,0,0
1659,South,Basic,34,59.17,1,1
1660,North,Standard,22,69.47,1,1
1661,West,Premium,14,66.81,0,0
1662,North,Standard,7,48.01,2,0
1663,North,Basic,46,66.37,2,1
1664,South,Standard,69,35.92,2,0
1665,East,Basic,6,15.22,2,1
1666,East,Premium,50,35.92,1,0
1667,West,Basic,42,33.49,2,0
1668,North,Premium,13,36.62,1,0
1669,South,Basic,16,30.73,2,0
1670,North,Basic,21,39.7,1,0
1671,South,Basic,49,59.16,3,1
1672,West,Basic,22,78.87,2,1
1673,East,Basic,59,16.94,2,0
1674,South,Standard,27,24.82,0,0
1675,South,Basic,8,33.75,1,1
1676,West,Basic,7,61.78,3,1
1677,South,Basic,29,44.31,2,0
1678,North,Basic,29,34.97,1,0
1679,South,Premium,53,60.9,0,0
1680,North,Premium,34,65.22,1,0
1681,North,Basic,12,47.66,2,0
1682,North,Standard,16,33.31,1,1
1683,South,Standard,41,52.87,1,0
1684,East,Premium,24,43.8,0,0
1685,South,Basic,48,43.66,0,0
1686,South,Basic,66,38.78,1,1
1687,West,Standard,26,64.65,2,1
1688,East,Premium,40,52.5,0,0
1689,South,Standard,60,66.64,0,0
1690,North,Standard,15,72.05,2,1
1691,West,Basic,37,56.26,1,1
1692,North,Standard,22,38.88,1,0
1693,South,Premium,45,66.73,0,0
1694,West,Basic,53,56.38,1,0
1695,South,Standard,11,94.86,1,0
1696,East,Basic,14,53.58,0,0
1697,South,Standard,2,60.56,1,0
1698,East,Standard,1,53.23,1,0
1699,North,Standard,4,46.22,0,0
1700,North,Premium,51,43.34,1,0
1701,South,Basic,65,53.3,1,0
1702,North,Basic,30,57.38,1,0
1703,West,Basic,63,68.78,0,0
1704,North,Basic,52,53.56,3,0
1705,South,Basic,58,39.67,0,0
1706,East,Basic,53,42.12,0,0
1707,East,Basic,15,24.19,2,1
1708,South,Basic,38,77.9,1,1
1709,South,Basic,38,38.26,1,0
1710,West,Standard,46,65.41,2,0
1711,East,Basic,57,52.98,2,0
1712,East,Standard,8,53.47,4,0
1713,West,Premium,48,45.89,1,0
1714,East,Standard,60,33.82,0,0
1715,North,Basic,9,30.57,1,0
1716,South,Basic,30,79.11,0,0
1717,North,Standard,64,50.05,1,0
1718,East,Standard,2,68.25,2,0
1719,West,Basic,12,72.93,0,0
1720,South,Basic,58,40.6,3,1
1721,South,Standard,13,55.62,0,1
1722,North,Basic,50,48.81,1,0
1723,West,Standard,64,27.17,4,1
1724,North,Basic,36,44.66,2,0
1725,North,Basic,35,58.58,3,1
1726,North,Premium,31,39.02,1,0
1727,North,Basic,27,42.15,0,0
1728,South,Standard,27,44.88,2,0
1729,South,Basic,40,86.01,0,1
1730,South,Basic,64,14.99,1,0
1731,North,Premium,70,57.03,3,1
1732,North,Basic,62,43.44,0,0
